id	filename	md5	size	state
70b9e76b-7bb1-4b1b-b154-c3af7e217c58	TCGA-BH-A0HX-01Z-00-DX1.44EBA39E-383D-4820-915E-4E5FDA1D43DA.svs	ef40eb09d289cb69f63956d673c48bd1	1344.7	released
f4b618f4-7ef3-4101-baf1-f21530e23775	TCGA-B6-A0X0-01Z-00-DX1.5D67D9D5-C2F0-40BE-A661-E25B6A6287A2.svs	49cb9dae3c32b402ec518bd3b97f3519	1537.7	released
9a37489c-cd3f-4fe3-8ba2-52b2c821459c	TCGA-BH-A0BM-01Z-00-DX1.8BD324F2-60F5-4F59-AF2D-533A5FB230BF.svs	6354266c4eae531a9fabcf8b676248d9	584.3	released
a951559a-e6c0-419b-b09f-43e6cb6ee3ea	TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432.svs	41e93fb7ea5027ce85cebccc558d5436	910.7	released
cd497e77-9c1c-463f-a2e4-7d090778bd81	TCGA-AR-A24X-01Z-00-DX1.304BF142-B01A-4AE9-B98C-FB3DE3BEAE57.svs	99dc3619531c3ee4884c2280c81d4db5	371.2	released
1c987569-802c-481c-a440-ca27a4098d3d	TCGA-AN-A0XT-01Z-00-DX1.882AF4CE-62A1-4808-9B4B-780066E5E602.svs	294a071ede5e503350f735e1095a99f9	433.7	released
26df0760-35d8-4432-84d1-3beb68fa829d	TCGA-A2-A0CR-01Z-00-DX1.F7D36CA5-A4C6-443A-AEED-5B23CD924FA3.svs	3a874737b7622521a602b5daa34a3b06	1477.4	released
f273a858-1cfa-4983-ace4-b1e876d64473	TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499.svs	f25620f99482f13abac6a9cebc29ddc9	625.3	released
d5f22fbe-09fb-42e8-9b58-3f68b264d22c	TCGA-A2-A0ES-01Z-00-DX1.5652EE30-48C1-4EC1-AD77-8C72DFCB9A97.svs	2694ce4908627811aa06e51fbfce22ca	1360.1	released
f6d87b26-cf87-482f-83d6-bd2eb52938e4	TCGA-D8-A13Y-01Z-00-DX1.02321E77-A11E-41A5-95FE-BB897EA5CE58.svs	64fea40919ae536371305e3b5d254f05	1228.4	released
1f4d56a0-b948-4a65-8b3a-f66d30317e0b	TCGA-D8-A13Y-01Z-00-DX2.0043D2BB-B04D-4A44-AAB1-1CAAD97AC246.svs	ded8abd36db91a73a2505bc06b37e39d	1061.5	released
f6141773-e90b-44c0-893c-60990a784797	TCGA-BH-A0E1-01Z-00-DX1.257EB36A-1008-4890-927B-204EF05DBE90.svs	2459ab4c6bf774515892727d6c75fac4	1679.9	released
07610b04-f505-419b-95ec-1789f1869a3a	TCGA-BH-A0HU-01Z-00-DX1.73B38904-E4F8-4F45-BD75-A27EC833B6DE.svs	ace63dbdf3eef5ad14ccc2d91aa95937	953.0	released
7b7166ab-36b5-4f1b-bd82-8b45d8b7ecbd	TCGA-C8-A130-01Z-00-DX1.F6810204-C35A-4461-A18A-0A117739B988.svs	44e964e2182f615cea328fb8fe35499a	706.7	released
976e041a-1344-44ac-8605-4b15168892fe	TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D.svs	05ea7f8530b85a761d9c258885305820	943.6	released
20d99899-654b-40a6-bf98-66867bab88dc	TCGA-D8-A1JI-01Z-00-DX1.9BDB647F-EEAB-4235-BE44-A3815A48CCE0.svs	2d49f3df243680ed7feab1527e0bed9f	908.1	released
32d06207-b713-441e-878c-9d0dfbddde8d	TCGA-D8-A1JJ-01Z-00-DX2.7D20F308-7DC6-4367-9459-3AC4C654E7F7.svs	266c01521144fda3f333146ccb66b241	1400.0	released
c3ceefbb-4838-4b46-8458-8377ea22cbab	TCGA-D8-A1JJ-01Z-00-DX1.a986b48f-b295-4d7a-b778-ce829cdf9c38.svs	8891afc5ac9a7f0a33145b3cfd5f69b5	1167.3	released
8fb9bb79-fa5d-4be9-a636-c9251b9b9a6e	TCGA-E9-A244-01Z-00-DX1.4FDAA892-9DBF-4E5D-89F3-2A84C8AC8F0A.svs	2e0b9c8a4a483af9fd14042068b29636	1071.7	released
4cefe74a-c117-4363-a209-67951f3740b2	TCGA-E2-A10C-01Z-00-DX1.29A2B20B-29C6-4491-ADAB-0584C772EF25.svs	0e603e4e06385188c4ca7ddc032d9b12	1072.9	released
626bfe89-c9c8-4ebf-97c9-56b1bd27f22d	TCGA-E2-A107-01Z-00-DX1.3BFCCC24-7286-488D-A9E9-98E498AD0767.svs	2340a4363e53a0f8e46584b4a3020c82	1548.6	released
fbcf506f-03f3-4c27-930d-dffd828f8680	TCGA-BH-A0DV-01Z-00-DX1.2F0B5FB3-40F0-4D27-BFAC-390FB9A42B39.svs	67896ca0048f03770e37e555b2e9a075	1437.3	released
8cd54282-7f08-4459-9dd0-af19130bab64	TCGA-BH-A0BO-01Z-00-DX1.1A704471-FEB3-40F9-9838-3E347A18285F.svs	d90455ff5f39fec2364d54d5c1257df4	502.9	released
eccd20fd-f1f1-4d8f-9104-6e28cedb00f2	TCGA-AR-A5QP-01Z-00-DX1.256FDB13-1F81-42DA-AF6E-8A94835550C1.svs	742556e7202089f53c57bf426f1262e9	1170.6	released
1e5499b6-73e2-463f-868b-e5652e3fd575	TCGA-LD-A7W6-01Z-00-DX1.3E125146-B447-4973-AE09-6D374970B46C.svs	76f6a33f79534ddca81cb0fb2dd7914f	858.3	released
041d454d-4bae-4e12-8f32-46220670ef16	TCGA-A2-A1G0-01Z-00-DX1.9ECB0B8A-EF4E-45A9-82AC-EF36375DEF65.svs	d52f3276ee616a4dbdf7c6f485f8058c	1042.1	released
0323e070-884a-4da1-b9ef-b8ea99a5c1de	TCGA-A2-A4RW-01Z-00-DX1.4AF8656E-2478-4895-8C59-B0C969F3E474.svs	1ad5a014724279238aff64964d22b8f7	1574.4	released
915ff10d-452f-46be-9ff1-a0ae127e9dd4	TCGA-A7-A26J-01Z-00-DX1.86A92FBD-F346-4206-A1BE-0CBA1596135F.svs	fdb94dbd33be36886182d094d29bcdc3	297.5	released
9e4e1b4c-8d44-4bdc-8b9a-272a6c13e7ae	TCGA-B6-A0I5-01Z-00-DX1.47A30509-4BA0-4BA5-AD9B-F2C2DB701159.svs	b99846bc73be320ed4704633cd3c127c	812.9	released
5032b8ff-1d90-4a03-a094-7bfcfca8bad0	TCGA-AR-A2LM-01Z-00-DX1.CB64A062-2E35-41F9-97C7-07BB60754799.svs	ead8a20141caad5abb16e6e41892529f	1468.9	released
7a57f6ca-7b02-4eed-8709-036fbcb5746e	TCGA-AR-A24Q-01Z-00-DX1.69DC7E35-DC0D-4F20-88DA-04C25F28628C.svs	7db4dc60ff62780ce60dd8d810fb3016	1864.1	released
c3658f7f-b174-4971-9a27-271d16a48669	TCGA-AO-A0JG-01Z-00-DX1.FA785D56-B4FF-4CC3-A631-5C748E8E0558.svs	787e552fb9161f7235ddc54277b13d6a	352.5	released
619bee8c-e250-49a2-86c0-766112714bb6	TCGA-D8-A27L-01Z-00-DX1.6572593C-B015-4F9A-8C9B-B634CAA0D3B4.svs	eaaea71da038551b5bfd1f93591052c0	901.5	released
0e16bef6-e65c-4c49-a8ce-ec1f6a97f5a9	TCGA-E9-A3HO-01Z-00-DX1.8C897764-4CD4-40DE-9F8B-7F1BE5FF89C7.svs	4cdc19b4fff7942be3c23f73a626bd2b	832.7	released
1aa278c3-2868-4a09-8b8e-98b83d3f6427	TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4.svs	f354672b6b78a69e13142f2128329cf1	447.4	released
fadb0bd2-e734-4dc0-ab09-388c4feaf30a	TCGA-C8-A9FZ-01Z-00-DX1.FA6B5909-3024-44B9-9CC5-71F8AB133A45.svs	32dfd9a9d17ed773908b451833ad4a15	1885.8	released
9a169dda-e4c8-45c1-b0e8-d092916084fb	TCGA-C8-A12W-01Z-00-DX1.3727E7BB-831E-42DB-B5CB-F2D7C649290F.svs	f694b05b37336ec21000978988b12348	885.5	released
b94f511f-7062-4e9f-ad6d-23371419299b	TCGA-BH-A0W7-01Z-00-DX1.93F11232-A1FB-4682-B744-3531D4DF11AF.svs	254f4e13c6017df1dae92a6673929d07	1222.2	released
46291f24-b5c6-4e99-a4a2-a6645ceb6e47	TCGA-BH-A0E2-01Z-00-DX1.5F6FA19C-D59F-45BE-80CE-F738CAB1EF0B.svs	9ae9c4be3cf0b234fba2684344d2e453	1274.4	released
b6c1920d-bc94-4286-9f4d-e90459359130	TCGA-BH-A0DK-01Z-00-DX1.0CFED53C-BAD9-4E35-B12F-57E64F3FEF1C.svs	141b27228e4db76877bada8032f59fa5	1142.6	released
0b2e87e5-8168-4e31-ace7-ef06fb4a1e68	TCGA-LL-A5YP-01Z-00-DX1.ADA978DF-6625-4C4D-AE0C-F589B2BA4897.svs	96db1492383d3678aa1213e8301cff7b	1091.6	released
d8a5a25e-f7dc-4c0d-8d08-efa050713725	TCGA-OL-A6VQ-01Z-00-DX1.E3B81163-0239-47C3-B53F-064405B58685.svs	5c925c730304fcdd3c969bb70f1eccef	1663.0	released
